zone,raw_text,severity_score,affected_count,issue_type,lat,lng,source,status,urgency_label
Dharavi,Severe food shortage in Dharavi slum area affecting over 200 families. Multiple families have reported not eating for over 24 hours. Children and elderly most affected.,9,200,food,19.0441,72.8557,csv,open,critical
Dharavi,Water supply contaminated in Dharavi sector 5. Residents complaining of stomach illness. Tap water has foul smell and discoloration.,8,150,water,19.0438,72.8560,csv,open,critical
Kurla,Healthcare facility in Kurla West severely understaffed. Patients waiting over 6 hours for basic treatment. No medicines available for common ailments.,7,80,health,19.0724,72.8787,csv,open,high
Govandi,Multiple families in Govandi area living in structurally damaged housing. Monsoon approaching and roofs are leaking badly. Risk of collapse.,8,60,housing,19.0537,72.9148,csv,open,critical
Malad,School in Malad East closed due to structural issues. 120 students have no alternative. Parents requesting temporary education facility.,6,120,education,19.1860,72.8485,csv,open,high
Bandra East,Safety concern in Bandra East - broken street lights creating dangerous conditions at night. Multiple theft incidents reported in the area.,5,300,safety,19.0596,72.8413,csv,open,medium
Dharavi,Medical camp urgently needed in Dharavi - increasing cases of dengue fever reported. 3 children hospitalized this week. Stagnant water everywhere.,9,175,health,19.0430,72.8550,csv,open,critical
Andheri East,Food distribution needed in Andheri East slum pockets. Daily wage workers lost income due to construction site closure. 50 families affected.,7,50,food,19.1197,72.8464,csv,open,high
Kurla,Clean drinking water crisis in Kurla East. Municipal water tanker has not come in 5 days. People buying expensive bottled water they cannot afford.,8,200,water,19.0740,72.8800,csv,open,critical
Mankhurd,Children in Mankhurd not attending school due to lack of transportation. Nearest school is 4km away. Parents cannot afford auto fare.,5,45,education,19.0635,72.9277,csv,open,medium
Dharavi,Housing repair needed after fire in Dharavi 13th compound. 8 families displaced. Currently sleeping on streets. No temporary shelter provided.,9,40,housing,19.0445,72.8540,csv,open,critical
Govandi,Mental health support needed in Govandi. Drug abuse among youth increasing. Families requesting counseling services and rehabilitation support.,6,30,health,19.0550,72.9160,csv,open,medium
Malad West,Food insecurity in Malad West fishing community. Fishing ban period started - no income for 2 months. 70 families need food support.,7,70,food,19.1875,72.8357,csv,open,high
Bandra East,Waterlogging in Bandra East causing health hazards. Mosquito breeding increasing. Children getting skin infections from contaminated water.,6,100,water,19.0590,72.8425,csv,open,medium
Chembur,Elderly residents in Chembur Old Age Home running out of medications. Diabetes and BP medicines finished. No budget for new supply.,8,25,health,19.0620,72.8978,csv,open,high
Dharavi,Educational materials needed for community learning center in Dharavi. 60 students have no textbooks for current semester.,4,60,education,19.0435,72.8545,csv,open,low
Kurla West,Street children in Kurla West need shelter and food. At least 15 children sleeping under bridge near railway station.,9,15,safety,19.0730,72.8770,csv,open,critical
Govandi,Garbage collection stopped in Govandi for 10 days. Waste piling up near residential areas. Strong smell and rats visible everywhere.,7,500,safety,19.0545,72.9155,csv,open,high
Andheri West,Community health clinic in Andheri West needs volunteer doctors. Current doctor left. 200 patients per week have no medical access.,8,200,health,19.1360,72.8264,csv,open,critical
Malad East,Flooding in low-lying areas of Malad East. 30 homes waterlogged. Families need temporary relocation and cleaning supplies.,7,30,housing,19.1870,72.8490,csv,open,high
Sion,Food bank storage in Sion running low. Only 3 days of supply remaining. Serves 100 families daily in surrounding slum areas.,8,100,food,19.0404,72.8620,csv,open,critical
Dharavi,Tailoring skills training requested by women's self-help group in Dharavi. 25 women want to learn for livelihood. Need volunteer trainers.,3,25,education,19.0442,72.8555,csv,open,low
Vikhroli,Water pipeline burst in Vikhroli East. Entire neighborhood without water for 3 days. BMC not responding to complaints.,8,350,water,19.0980,72.9167,csv,open,critical
Bhandup,Senior citizens in Bhandup need regular health checkups. Many have untreated chronic conditions. Requesting volunteer medical professionals.,6,40,health,19.1487,72.9357,csv,open,medium
Mulund,Fire safety concern in Mulund slum area. Closely packed hutments with exposed electrical wiring. Previous fire incidents in area.,7,200,safety,19.1724,72.9566,csv,open,high
